City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
207,hofn,64.2539,-15.2082,43.41,76,100,14.45,IS,1681411438
208,ullapool,57.8987,-5.1604,47.35,84,78,0.29,GB,1681411438
209,mahebourg,-20.4081,57.7,77.25,94,40,3.44,MU,1681411396
210,ketchikan,55.3422,-131.6461,39.67,87,100,5.75,US,1681411439
211,saldanha,-33.0117,17.9442,62.65,80,59,7.78,ZA,1681411439
212,kosino,58.4127,51.2782,24.64,68,7,13.0,RU,1681411439
213,new norfolk,-42.7826,147.0587,52.92,89,78,0.96,AU,1681411439
214,ust-kut,56.7938,105.7672,15.75,91,69,4.29,RU,1681411439
215,qaqortoq,60.7167,-46.0333,36.05,73,100,2.66,GL,1681411439
216,bolivar,37.6145,-93.4105,76.12,43,88,8.52,US,1681411180
217,nabire,-3.3667,135.4833,75.43,92,100,4.59,ID,1681411439
218,terrace,54.5163,-128.6035,39.11,75,100,6.91,CA,1681411439
219,aden,12.7794,45.0367,82.71,84,40,18.92,YE,1681411440
220,quatre cocos,-20.2078,57.7625,77.09,81,0,2.24,MU,1681411440
221,opuwo,-18.0607,13.84,79.59,30,100,6.71,NA,1681411440
222,maner,25.65,84.8833,89.51,18,3,7.96,IN,1681411440
223,namibe,-15.1961,12.1522,74.21,72,57,12.68,AO,1681411440
224,xining,36.6167,101.7667,37.74,82,98,4.14,CN,1681411440
225,fort nelson,58.8053,-122.7002,46.94,36,40,8.05,CA,1681411240
226,vila velha,-20.3297,-40.2925,84.15,82,40,10.36,BR,1681411440
227,corinto,37.9407,22.9573,58.89,80,73,3.44,GR,1681411403
228,coihaique,-45.5752,-72.0662,59.61,43,0,6.91,CL,1681411220
229,madras,13.0878,80.2785,84.18,86,20,2.3,IN,1681411173
230,lata,40.1629,-8.3327,57.81,73,89,7.49,PT,1681411441
231,mindelo,16.8901,-24.9804,78.35,53,20,18.41,CV,1681411441
232,yei,4.095,30.6779,68.41,90,100,2.55,SS,1681411441
233,novato,38.1074,-122.5697,65.21,37,0,10.36,US,1681411286
234,srandakan,-7.9386,110.2506,78.08,85,100,3.89,ID,1681411441
235,sibolga,1.7427,98.7792,76.42,91,58,2.8,ID,1681411442
236,khandyga,62.6667,135.6,23.5,94,100,2.04,RU,1681411442
237,sainte-thecle,46.8168,-72.4991,57.72,95,96,2.35,CA,1681411442
238,karasjok,69.4719,25.5112,22.64,92,9,8.59,NO,1681411443
239,salina,38.8403,-97.6114,80.94,29,0,24.16,US,1681411225
240,mapili,11.1081,122.7393,74.25,91,100,1.25,PH,1681411444
241,marion,39.7684,-86.1555,80.04,26,20,5.75,US,1681411265
242,victor harbor,-35.5667,138.6167,54.68,87,73,7.25,AU,1681411444
243,manokwari,-0.8667,134.0833,78.4,78,10,2.84,ID,1681411445
244,abalak,58.1286,68.5944,14.68,63,60,11.99,RU,1681411445
245,clyde river,70.4692,-68.5914,10.63,67,75,19.57,CA,1681411445
246,korla,41.7597,86.1469,54.73,33,3,5.28,CN,1681411445
247,komsomolskiy,40.4272,71.7189,61.52,77,0,4.61,UZ,1681411446
248,kurumkan,54.3,110.3,16.47,61,4,3.53,RU,1681411446
249,palkonda,18.6,83.75,83.26,55,0,2.55,IN,1681411446
250,neulengbach,48.1974,15.9022,47.89,91,100,8.01,AT,1681411446
251,slave lake,55.2834,-114.769,39.18,60,20,5.75,CA,1681411359
252,atbasar,51.8,68.3333,52.29,55,100,0.43,KZ,1681411446
253,fukue,32.6881,128.8419,63.61,78,100,14.9,JP,1681411447
254,constitucion,-35.3333,-72.4167,62.24,70,64,6.93,CL,1681411379
255,srinivaspur,13.3333,78.2167,76.46,32,20,7.16,IN,1681411447
256,krasnoselkup,65.7,82.4667,-10.46,100,89,8.43,RU,1681411448
257,imbituba,-28.24,-48.6703,80.85,84,58,11.74,BR,1681411448
258,arraial do cabo,-22.9661,-42.0278,85.96,65,0,17.27,BR,1681411449
259,touros,-5.1989,-35.4608,81.88,76,100,13.4,BR,1681411449
260,naze,28.3667,129.4833,67.12,91,74,12.5,JP,1681411393
261,acapulco,16.8634,-99.8901,87.62,58,40,9.22,MX,1681411218
262,upernavik,72.7868,-56.1549,19.2,86,100,4.63,GL,1681411449
263,lodja,-3.4833,23.4333,73.99,84,30,2.95,CD,1681411450
264,plettenberg bay,-34.0527,23.3716,59.61,85,0,8.93,ZA,1681411451
265,buea,4.1527,9.241,71.15,89,59,4.74,CM,1681411451
266,lubango,-14.9172,13.4925,61.02,86,60,4.74,AO,1681411451
267,esperance,-33.8667,121.9,60.24,74,100,28.63,AU,1681411422
268,hobyo,5.3505,48.5268,83.64,72,90,12.06,SO,1681411452
269,high prairie,55.4334,-116.4858,46.72,33,49,5.82,CA,1681411452
270,russell,32.3502,-85.1999,78.19,78,0,11.5,US,1681411452
271,yumen,40.2833,97.2,43.95,34,100,11.65,CN,1681411452
272,nantucket,41.2835,-70.0995,75.34,59,0,14.97,US,1681411251
273,svetlaya,46.5389,138.3297,34.29,72,98,3.02,RU,1681411453
274,cayenne,4.9333,-52.3333,78.84,89,75,4.61,GF,1681411453
275,salalah,17.0151,54.0924,84.29,74,20,6.91,OM,1681411454
276,silver city,32.7701,-108.2803,71.56,16,0,16.11,US,1681411454
277,at-bashi,41.1702,75.8106,40.06,63,11,3.27,KG,1681411455
278,severo-kurilsk,50.6789,156.125,29.32,88,7,3.06,RU,1681411434
279,wadi maliz,36.4681,8.5495,58.66,80,100,14.47,TN,1681411456
280,asyut,27.181,31.1837,71.78,21,0,4.76,EG,1681411456
281,vikhorevka,56.1201,101.1636,31.59,72,100,7.94,RU,1681411456
282,jackson,42.4165,-122.8345,49.37,59,0,3.44,US,1681411456
283,lana,46.6124,11.1559,43.07,81,100,5.91,IT,1681411457
284,sonari,27.0667,95.0333,73.11,44,0,2.51,IN,1681411457
285,wageningen,51.9667,5.6667,50.05,63,11,3.44,NL,1681411457
286,bethel,41.3712,-73.414,89.19,31,0,14.97,US,1681411413
287,ewa beach,21.3156,-158.0072,78.75,68,0,10.36,US,1681411458
288,ures,29.4333,-110.4,82.78,18,3,18.23,MX,1681411458
289,quelimane,-17.8786,36.8883,72.5,90,100,3.2,MZ,1681411458
290,mwingi,-0.9344,38.0601,67.62,89,99,1.43,KE,1681411459
291,akureyri,65.6835,-18.0878,44.53,65,75,0.0,IS,1681411460
292,iralaya,15.0,-83.2333,83.21,69,100,9.84,HN,1681411460
293,wukari,7.85,9.7833,93.42,33,2,1.39,NG,1681411460
294,soyo,-6.1349,12.3689,80.35,76,49,4.36,AO,1681411460
295,hajnowka,52.7433,23.5812,51.03,87,95,1.99,PL,1681411461
296,seoul,37.5683,126.9778,53.17,52,0,3.44,KR,1681411344
297,mwinilunga,-11.7358,24.4293,62.02,97,21,3.83,ZM,1681411461
298,curvelo,-18.7564,-44.4308,84.9,46,94,1.57,BR,1681411346
